Structures   Fraction     E[J/m2]      V[A]         Fx           Fy           Fz           Q4           Q6           Q8           Q12          Method       
lammps_0001  0.4800       0.93680      0.16544      -2.17289     0.09197      0.00385      -0.08194     -0.14352     -0.02246     -0.16911     byEQ         
lammps_0002  0.4800       0.94716      0.18797      -1.81158     0.45094      0.00306      -0.08864     -0.14978     -0.01830     -0.17313     byEQ         
lammps_0003  0.4800       0.95167      0.17775      -1.91515     0.09950      0.00046      -0.08491     -0.14605     -0.01882     -0.17080     byEQ         
lammps_0004  0.4800       0.95168      0.19061      -1.80610     0.51287      0.00361      -0.09380     -0.15482     -0.01712     -0.17811     byEQ         
lammps_0005  0.4800       0.95219      0.19086      -1.80239     0.51506      0.00268      -0.09121     -0.15213     -0.01805     -0.17610     byEQ         
lammps_0006  0.4800       0.95226      0.19039      -1.80810     0.50136      0.00030      -0.09145     -0.15225     -0.01755     -0.17584     byEQ         
lammps_0007  0.4800       0.95125      0.18977      -1.80246     0.46836      0.00109      -0.09150     -0.15200     -0.01719     -0.17514     byEQ         
lammps_0008  0.4800       0.95164      0.18954      -1.80760     0.46242      0.00292      -0.08925     -0.14993     -0.01814     -0.17416     byEQ         
lammps_0009  0.4800       0.95260      0.19111      -1.79585     0.51046      0.00028      -0.09127     -0.15238     -0.01749     -0.17567     byEQ         
lammps_0010  0.4800       0.95241      0.19067      -1.80386     0.50259      0.00245      -0.09091     -0.15124     -0.01801     -0.17519     byEQ         
lammps_0011  0.4800       0.95267      0.19042      -1.80586     0.49626      0.00012      -0.09126     -0.15262     -0.01789     -0.17645     byEQ         
lammps_0012  0.4800       0.95258      0.17987      -1.90205     0.15034      0.00348      -0.08343     -0.14392     -0.01985     -0.17052     byEQ         
lammps_0013  0.4800       0.95278      0.17982      -1.90531     0.15068      0.00324      -0.08393     -0.14537     -0.01932     -0.17076     byEQ         
lammps_0014  0.4800       0.95323      0.19217      -1.77961     0.51578      0.00030      -0.09052     -0.15190     -0.01790     -0.17517     byEQ         
lammps_0015  0.4800       0.95320      0.17887      -1.91765     0.12817      0.00328      -0.08472     -0.14564     -0.01918     -0.17126     byEQ         
lammps_0016  0.4800       0.95309      0.17965      -1.90637     0.14120      0.00338      -0.08577     -0.14758     -0.01835     -0.17205     byEQ         
lammps_0017  0.4800       0.95316      0.17934      -1.91062     0.13702      0.00310      -0.08533     -0.14687     -0.01876     -0.17156     byEQ         
lammps_0018  0.4800       0.95386      0.19233      -1.77382     0.50021      0.00030      -0.09039     -0.15250     -0.01739     -0.17559     byEQ         
lammps_0019  0.4800       0.95362      0.18083      -1.88716     0.14432      0.00451      -0.08496     -0.14650     -0.01827     -0.17087     byEQ         
lammps_0020  0.4800       0.95428      0.18424      -1.91185     0.29624      0.00338      -0.08548     -0.14750     -0.01817     -0.17153     byEQ         
lammps_0021  0.4800       0.95321      0.19118      -1.79288     0.48884      0.00251      -0.09148     -0.15252     -0.01701     -0.17584     byEQ         
lammps_0022  0.4800       0.95454      0.17982      -1.92527     0.16675      0.00345      -0.08525     -0.14708     -0.01930     -0.17199     byEQ         
lammps_0023  0.4800       0.95455      0.19134      -1.78023     0.46692      -0.00022     -0.08874     -0.15026     -0.01741     -0.17401     byEQ         
