NK: 1 SK: 2 FK: 3 Disordered: 4 Not-Applicable: 5
Structures   GB-Type
lammps_0001    SK
lammps_0002    SK
lammps_0003    SK
lammps_0004    SK
lammps_0005    SK
lammps_0006    SK
lammps_0007    SK
lammps_0008    SK
lammps_0009    SK
lammps_0010    SK
lammps_0011    SK
lammps_0012    SK
lammps_0013    SK
lammps_0014    SK
lammps_0015    SK
lammps_0016    SK
lammps_0017    SK
lammps_0018    SK
lammps_0019    SK
lammps_0020    SK
lammps_0021    SK
lammps_0022    SK
lammps_0023    SK
lammps_0024    SK
lammps_0025    SK
lammps_0026    SK
lammps_0027    SK
lammps_0028    SK
lammps_0029    SK
lammps_0030    SK
lammps_0031    SK
lammps_0032    SK
lammps_0033    SK
lammps_0034    SK
lammps_0035    SK
lammps_0036    SK
lammps_0037    SK
lammps_0038    SK
lammps_0039    SK
lammps_0040    SK
lammps_0041    SK
lammps_0042    SK
lammps_0043    SK
lammps_0044    SK
lammps_0045    SK
lammps_0046    SK
lammps_0047    SK
lammps_0048    SK
lammps_0049    SK
lammps_0050    SK
lammps_0051    SK
lammps_0052    SK
lammps_0053    SK
lammps_0054    SK
lammps_0055    SK
lammps_0056    SK
lammps_0057    SK
lammps_0058    SK
lammps_0059    SK
lammps_0060    SK
lammps_0061    SK
lammps_0062    SK
lammps_0063    SK
lammps_0064    SK
lammps_0065    SK
lammps_0066    SK
lammps_0067    SK
lammps_0068    SK
lammps_0069    SK
lammps_0070    SK
lammps_0071    SK
lammps_0072    SK
lammps_0073    SK
lammps_0074    SK
lammps_0075    SK
lammps_0076    SK
lammps_0077    SK
lammps_0078    SK
lammps_0079    SK
lammps_0080    SK
lammps_0081    SK
lammps_0082    SK
lammps_0083    SK
lammps_0084    SK
lammps_0085    SK
lammps_0086    SK
lammps_0087    SK
lammps_0088    SK
lammps_0089    SK
lammps_0090    SK
lammps_0091    SK
lammps_0092    SK
lammps_0093    SK
lammps_0094    SK
lammps_0095    SK
lammps_0096    SK
lammps_0097    SK
lammps_0098    SK
lammps_0099    SK
lammps_0100    SK
lammps_0101    SK
lammps_0102    SK
lammps_0103    SK
lammps_0104    SK
lammps_0105    SK
lammps_0106    SK
lammps_0107    SK
lammps_0108    SK
lammps_0109    SK
lammps_0110    SK
lammps_0111    SK
lammps_0112    SK
lammps_0113    SK
lammps_0114    SK
lammps_0115    SK
lammps_0116    SK
lammps_0117    SK
lammps_0118    SK
lammps_0119    SK
lammps_0120    SK
lammps_0121    SK
lammps_0122    SK
lammps_0123    SK
lammps_0124    SK
lammps_0125    SK
lammps_0126    SK
lammps_0127    SK
lammps_0128    SK
lammps_0129    SK
lammps_0130    SK
lammps_0131    SK
lammps_0132    SK
lammps_0133    SK
lammps_0134    SK
lammps_0135    SK
lammps_0136    SK
lammps_0137    SK
lammps_0138    SK
lammps_0139    SK
lammps_0140    SK
lammps_0141    SK
lammps_0142    SK
lammps_0143    SK
lammps_0144    SK
lammps_0145    SK
lammps_0146    SK
lammps_0147    SK
lammps_0148    SK
lammps_0149    SK
lammps_0150    SK
lammps_0151    FK
lammps_0152    FK
lammps_0153    FK
lammps_0154    FK
lammps_0155    FK
lammps_0156    FK
lammps_0157    FK
lammps_0158    FK
lammps_0159    FK
lammps_0160    FK
lammps_0161    FK
lammps_0162    FK
lammps_0163    FK
lammps_0164    FK
lammps_0165    FK
lammps_0166    FK
lammps_0167    FK
lammps_0168    FK
lammps_0169    FK
lammps_0170    NK
lammps_0171    NK
lammps_0172    FK
lammps_0173    NK
lammps_0174    NK
lammps_0175    NK
lammps_0176    FK
lammps_0177    NK
lammps_0178    NK
lammps_0179    NK
lammps_0180    NK
lammps_0181    NK
lammps_0182    FK
lammps_0183    FK
lammps_0184    NK
lammps_0185    NK
lammps_0186    FK
lammps_0187    FK
lammps_0188    FK
lammps_0189    FK
lammps_0190    FK
lammps_0191    FK
lammps_0192    NK
lammps_0193    NK
lammps_0194    FK
lammps_0195    FK
lammps_0196    FK
lammps_0197    NK
lammps_0198    FK
lammps_0199    FK
lammps_0200    FK
lammps_0201    FK
lammps_0202    FK
lammps_0203    FK
lammps_0204    FK
lammps_0205    FK
lammps_0206    FK
lammps_0207    FK
lammps_0208    FK
lammps_0209    FK
lammps_0210    FK
lammps_0211    NK
lammps_0212    FK
lammps_0213    NK
lammps_0214    NK
lammps_0215    NK
lammps_0216    NK
lammps_0217    NK
lammps_0218    NK
lammps_0219    NK
lammps_0220    FK
lammps_0221    FK
lammps_0222    NK
lammps_0223    FK
lammps_0224    NK
lammps_0225    NK
lammps_0226    FK
lammps_0227    NK
lammps_0228    FK
lammps_0229    NK
lammps_0230    FK
lammps_0231    NK
lammps_0232    NK
lammps_0233    NK
lammps_0234    NK
lammps_0235    FK
lammps_0236    NK
lammps_0237    NK
lammps_0238    NK
lammps_0239    NK
lammps_0240    NK
lammps_0241    FK
lammps_0242    NK
lammps_0243    NK
lammps_0244    NK
lammps_0245    NK
lammps_0246    NK
lammps_0247    NK
lammps_0248    NK
lammps_0249    NK
lammps_0250    NK
lammps_0251    NK
lammps_0252    NK
lammps_0253    NK
lammps_0254    NK
lammps_0255    NK
lammps_0256    NK
lammps_0257    FK
lammps_0258    NK
lammps_0259    NK
lammps_0260    NK
lammps_0261    NK
lammps_0262    NK
lammps_0263    NK
lammps_0264    NK
lammps_0265    NK
lammps_0266    NK
lammps_0267    NK
lammps_0268    NK
lammps_0269    NK
lammps_0270    NK
lammps_0271    NK
lammps_0272    NK
lammps_0273    NK
lammps_0274    NK
lammps_0275    NK
lammps_0276    NK
lammps_0277    NK
lammps_0278    NK
lammps_0279    NK
lammps_0280    NK
lammps_0281    NK
lammps_0282    NK
lammps_0283    NK
lammps_0284    NK
lammps_0285    NK
lammps_0286    FK
lammps_0287    NK
lammps_0288    NK
lammps_0289    NK
lammps_0290    NK
lammps_0291    FK
lammps_0292    NK
lammps_0293    NK
lammps_0294    NK
lammps_0295    NK
lammps_0296    NK
lammps_0297    NK
lammps_0298    NK
lammps_0299    NK
lammps_0300    NK
lammps_0301    NK
lammps_0302    NK
lammps_0303    NK
lammps_0304    FK
lammps_0305    NK
lammps_0306    NK
lammps_0307    FK
lammps_0308    FK
lammps_0309    FK
lammps_0310    FK
lammps_0311    SK
lammps_0312    SK
lammps_0313    SK
lammps_0314    SK
lammps_0315    SK
lammps_0316    SK
lammps_0317    SK
lammps_0318    Disordered
lammps_0319    SK
lammps_0320    SK
lammps_0321    SK
lammps_0322    SK
lammps_0323    SK
lammps_0324    SK
lammps_0325    SK
lammps_0326    SK
lammps_0327    SK
lammps_0328    SK
lammps_0329    SK
lammps_0330    SK
lammps_0331    Disordered
lammps_0332    SK
lammps_0333    SK
lammps_0334    SK
lammps_0335    SK
lammps_0336    SK
lammps_0337    SK
lammps_0338    SK
lammps_0339    SK
lammps_0340    SK
lammps_0341    Disordered
lammps_0342    SK
lammps_0343    SK
lammps_0344    Disordered
lammps_0345    SK
lammps_0346    SK
lammps_0347    SK
lammps_0348    SK
lammps_0349    SK
lammps_0350    SK
lammps_0351    SK
lammps_0352    Disordered
lammps_0353    SK
lammps_0354    Disordered
lammps_0355    SK
lammps_0356    SK
lammps_0357    SK
lammps_0358    SK
lammps_0359    SK
lammps_0360    SK
lammps_0361    Disordered
lammps_0362    SK
lammps_0363    SK
lammps_0364    SK
lammps_0365    SK
lammps_0366    Disordered
lammps_0367    SK
lammps_0368    Disordered
lammps_0369    SK
lammps_0370    SK
lammps_0371    SK
lammps_0372    SK
lammps_0373    SK
lammps_0374    SK
lammps_0375    Disordered
lammps_0376    SK
lammps_0377    SK
lammps_0378    SK
lammps_0379    SK
lammps_0380    SK
lammps_0381    SK
lammps_0382    SK
lammps_0383    SK
lammps_0384    SK
lammps_0385    SK
lammps_0386    SK
lammps_0387    SK
lammps_0388    SK
lammps_0389    SK
lammps_0390    SK
lammps_0391    SK
lammps_0392    SK
lammps_0393    SK
lammps_0394    SK
lammps_0395    SK
lammps_0396    SK
lammps_0397    SK
lammps_0398    SK
lammps_0399    SK
lammps_0400    SK
lammps_0401    SK
lammps_0402    SK
lammps_0403    SK
lammps_0404    SK
lammps_0405    SK
lammps_0406    SK
lammps_0407    SK
lammps_0408    SK
lammps_0409    SK
lammps_0410    SK
lammps_0411    SK
lammps_0412    SK
lammps_0413    SK
lammps_0414    SK
lammps_0415    SK
lammps_0416    SK
lammps_0417    SK
lammps_0418    SK
lammps_0419    SK
lammps_0420    SK
lammps_0421    SK
lammps_0422    SK
lammps_0423    SK
lammps_0424    SK
lammps_0425    SK
lammps_0426    SK
lammps_0427    SK
lammps_0428    SK
lammps_0429    SK
lammps_0430    Disordered
lammps_0431    SK
lammps_0432    SK
lammps_0433    SK
lammps_0434    SK
lammps_0435    SK
lammps_0436    SK
lammps_0437    Disordered
lammps_0438    SK
lammps_0439    SK
lammps_0440    Disordered
lammps_0441    Disordered
lammps_0442    SK
lammps_0443    Disordered
lammps_0444    SK
lammps_0445    SK
lammps_0446    SK
lammps_0447    SK
lammps_0448    SK
lammps_0449    Disordered
lammps_0450    SK
lammps_0451    NK
lammps_0452    SK
lammps_0453    SK
lammps_0454    SK
lammps_0455    SK
lammps_0456    SK
lammps_0457    Disordered
lammps_0458    SK
lammps_0459    SK
lammps_0460    SK
lammps_0461    SK
lammps_0462    Disordered
lammps_0463    SK
lammps_0464    SK
lammps_0465    SK
lammps_0466    SK
lammps_0467    NK
lammps_0468    SK
lammps_0469    SK
lammps_0470    Disordered
lammps_0471    NK
lammps_0472    NK
